-0.3, 0.74, 0.77
-0.33, 0.81, 0.85
-0.36, 0.88, 0.91
-0.39, 0.94, 0.98
0.07, -0.02, 0.07
0.14, -0.05, 0.14
0.21, -0.08, 0.21
0.28, -0.11, 0.28
0.34, -0.14, 0.34
0.41, -0.17, 0.41
0.48, -0.2, 0.48
0.55, -0.23, 0.55
0.62, -0.26, 0.62
0.68, -0.28, 0.68
0.75, -0.31, 0.75
0.82, -0.34, 0.82
0.89, -0.37, 0.89
0.96, -0.4, 0.96
-0.07, -0.02, 0.07
-0.14, -0.04, 0.14
-0.21, -0.07, 0.2
-0.28, -0.09, 0.27
-0.35, -0.12, 0.33
-0.42, -0.14, 0.4
-0.49, -0.16, 0.47
-0.56, -0.19, 0.53
-0.63, -0.21, 0.6
-0.71, -0.24, 0.66
-0.78, -0.26, 0.73
-0.85, -0.28, 0.8
-0.92, -0.31, 0.86
-0.99, -0.33, 0.93
0.04, 0.07, 0.07
0.08, 0.14, 0.13
0.12, 0.21, 0.2
0.16, 0.28, 0.26
0.19, 0.34, 0.32
0.23, 0.41, 0.39
0.27, 0.48, 0.45
0.31, 0.55, 0.52
0.35, 0.62, 0.58
0.38, 0.68, 0.64
0.42, 0.75, 0.71
0.46, 0.82, 0.77
0.5, 0.89, 0.84
0.54, 0.96, 0.9
0.02, -0.07, 0.07
0.04, -0.15, 0.13
0.06, -0.22, 0.19
0.08, -0.3, 0.25
0.1, -0.38, 0.31
0.12, -0.45, 0.38
0.14, -0.53, 0.44
0.16, -0.6, 0.5
0.18, -0.68, 0.56
0.19, -0.76, 0.62
0.21, -0.83, 0.69
0.23, -0.91, 0.75
0.25, -0.98, 0.81
0.27, -1.06, 0.87
-0.06, 0.05, 0.07
-0.13, 0.1, 0.13
-0.19, 0.14, 0.19
-0.26, 0.19, 0.25
-0.33, 0.23, 0.31
-0.39, 0.28, 0.37
-0.46, 0.32, 0.43
-0.52, 0.37, 0.49
-0.59, 0.41, 0.55
-0.66, 0.45, 0.61
-0.72, 0.5, 0.68
-0.79, 0.55, 0.74
-0.85, 0.59, 0.8
-0.92, 0.64, 0.86
0.09, 0.02, 0.06
0.17, 0.03, 0.12
0.25, 0.04, 0.18
0.33, 0.06, 0.24
0.41, 0.07, 0.3
0.49, 0.08, 0.36
0.57, 0.1, 0.42
0.65, 0.11, 0.48
0.73, 0.12, 0.54
0.81, 0.13, 0.59
0.9, 0.15, 0.65
0.98, 0.16, 0.71
1.06, 0.17, 0.77
1.14, 0.19, 0.83
-0.05, -0.06, 0.06
-0.1, -0.12, 0.12
-0.15, -0.19, 0.18
-0.2, -0.25, 0.23
-0.25, -0.32, 0.29
-0.3, -0.38, 0.35
-0.35, -0.44, 0.4
-0.4, -0.51, 0.46
-0.45, -0.57, 0.52
-0.51, -0.64, 0.57
-0.56, -0.7, 0.63
-0.61, -0.76, 0.69
-0.66, -0.83, 0.75
-0.71, -0.89, 0.8
0.0, 0.09, 0.06
-0.01, 0.17, 0.12
-0.01, 0.26, 0.17
-0.02, 0.34, 0.23
-0.02, 0.42, 0.28
-0.03, 0.51, 0.34
-0.03, 0.59, 0.39
-0.04, 0.68, 0.45
-0.04, 0.76, 0.5
-0.05, 0.84, 0.56
-0.05, 0.93, 0.61
-0.06, 1.01, 0.67
-0.06, 1.1, 0.72
-0.07, 1.18, 0.78
0.07, -0.05, 0.06
0.13, -0.11, 0.11
0.19, -0.17, 0.17
0.25, -0.23, 0.22
0.31, -0.28, 0.27
0.38, -0.34, 0.33
0.44, -0.4, 0.38
0.5, -0.46, 0.44
0.56, -0.52, 0.49
0.62, -0.57, 0.54
0.69, -0.63, 0.6
0.75, -0.69, 0.65
0.81, -0.75, 0.71
0.87, -0.81, 0.76
-0.08, 0.01, 0.06
-0.17, 0.01, 0.11
-0.25, 0.01, 0.16
-0.34, 0.02, 0.21
-0.42, 0.02, 0.26
-0.51, 0.02, 0.32
-0.59, 0.03, 0.37
-0.68, 0.03, 0.42
-0.76, 0.03, 0.47
-0.85, 0.03, 0.52
-0.93, 0.04, 0.58
-1.02, 0.04, 0.63
-1.1, 0.04, 0.68
-1.19, 0.05, 0.73
0.07, 0.06, 0.05
0.14, 0.12, 0.1
0.2, 0.18, 0.16
0.27, 0.24, 0.2
0.33, 0.29, 0.25
0.4, 0.35, 0.31
0.47, 0.41, 0.35
0.53, 0.47, 0.4
0.6, 0.53, 0.45
0.66, 0.58, 0.5
0.73, 0.64, 0.56
0.8, 0.7, 0.61
0.86, 0.76, 0.65
0.93, 0.82, 0.7
0.0, -0.08, 0.05
-0.01, -0.17, 0.1
-0.02, -0.26, 0.15
-0.03, -0.34, 0.2
-0.04, -0.43, 0.24
-0.05, -0.52, 0.29
-0.06, -0.6, 0.34
-0.07, -0.69, 0.39
-0.08, -0.78, 0.44
-0.09, -0.87, 0.48
-0.09, -0.95, 0.53
-0.1, -1.04, 0.58
-0.11, -1.13, 0.63
-0.12, -1.21, 0.68
-0.05, 0.08, 0.05
-0.1, 0.15, 0.1
-0.15, 0.22, 0.15
-0.2, 0.29, 0.19
-0.26, 0.36, 0.24
-0.31, 0.44, 0.29
-0.36, 0.51, 0.33
-0.41, 0.58, 0.38
-0.46, 0.65, 0.43
-0.52, 0.72, 0.47
-0.57, 0.8, 0.52
-0.62, 0.87, 0.57
-0.67, 0.94, 0.62
-0.72, 1.01, 0.66
0.09, -0.01, 0.05
0.18, -0.03, 0.1
0.27, -0.05, 0.14
0.36, -0.06, 0.19
0.44, -0.08, 0.23
0.53, -0.1, 0.28
0.62, -0.11, 0.32
0.71, -0.13, 0.37
0.8, -0.15, 0.41
0.88, -0.17, 0.45
0.97, -0.18, 0.5
1.06, -0.2, 0.55
1.15, -0.22, 0.59
1.24, -0.23, 0.64
-0.07, -0.04, 0.05
-0.15, -0.09, 0.09
-0.23, -0.13, 0.13
-0.3, -0.18, 0.18
-0.38, -0.23, 0.22
-0.46, -0.27, 0.26
-0.53, -0.32, 0.31
-0.61, -0.36, 0.35
-0.69, -0.41, 0.39
-0.77, -0.46, 0.43
-0.84, -0.5, 0.48
-0.92, -0.55, 0.52
-1.0, -0.59, 0.56
-1.07, -0.64, 0.61
0.03, 0.09, 0.05
0.06, 0.18, 0.09
0.08, 0.27, 0.13
0.11, 0.36, 0.17
0.13, 0.44, 0.21
0.16, 0.53, 0.25
0.19, 0.62, 0.29
0.21, 0.71, 0.33
0.24, 0.8, 0.37
0.26, 0.88, 0.41
0.29, 0.97, 0.46
0.32, 1.06, 0.5
0.34, 1.15, 0.54
0.37, 1.24, 0.58
0.05, -0.08, 0.04
0.09, -0.16, 0.08
0.13, -0.24, 0.12
0.17, -0.32, 0.16
0.21, -0.41, 0.2
0.25, -0.49, 0.24
0.29, -0.57, 0.28
0.33, -0.65, 0.32
0.37, -0.73, 0.36
0.41, -0.82, 0.39
0.46, -0.9, 0.43
0.5, -0.98, 0.47
0.54, -1.06, 0.51
0.58, -1.14, 0.55
